,City ID,City Name,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,3382160.0,cayenne,4.9333,-52.3333,77.59,94.0,90.0,5.75
2,5106841.0,albany,42.6001,-73.9662,55.89,89.0,88.0,2.55
3,4030556.0,rikitea,-23.1203,-134.9692,75.83,69.0,74.0,9.8
4,2514651.0,los llanos de aridane,28.6585,-17.9182,64.4,63.0,0.0,3.44
5,202061.0,kigali,-1.95,30.0588,64.18,94.0,40.0,5.75
6,2629833.0,husavik,66.0449,-17.3389,24.8,93.0,0.0,3.44
7,2281120.0,tabou,4.423,-7.3528,78.46,87.0,97.0,4.68
8,1490256.0,talnakh,69.4865,88.3972,33.49,99.0,100.0,6.24
9,2123628.0,magadan,59.5667,150.8,35.29,78.0,23.0,1.5
10,933313.0,mokobeng,-22.9965,27.6678,61.02,57.0,8.0,6.11
11,2112802.0,hasaki,35.7333,140.8333,61.92,100.0,75.0,8.05
12,3424607.0,tasiilaq,65.6145,-37.6368,30.2,100.0,90.0,3.44
13,1067565.0,beloha,-25.1667,45.05,76.86,58.0,0.0,5.5
14,924572.0,nsanje,-16.92,35.262,73.87,83.0,14.0,3.15
15,5896969.0,beaverlodge,55.2166,-119.4361,33.8,75.0,75.0,5.75
16,964090.0,prieska,-29.6641,22.7474,57.4,70.0,74.0,6.17
17,1528998.0,yumen,40.2833,97.2,75.43,7.0,8.0,26.24
18,2527087.0,tiznit,29.5833,-9.5,53.38,90.0,55.0,1.52
19,3466704.0,castro,-24.7911,-50.0119,51.64,95.0,24.0,6.69
20,364933.0,umm kaddadah,13.6017,26.6876,81.82,13.0,75.0,15.48
22,3833367.0,ushuaia,-54.8,-68.3,35.6,80.0,40.0,23.02
26,4021858.0,guerrero negro,27.9769,-114.0611,59.18,83.0,0.0,12.08
27,2180815.0,tuatapere,-46.1333,167.6833,55.0,94.0,97.0,15.01
28,2038446.0,baoqing,46.3317,132.2111,61.34,23.0,49.0,13.85
29,2071860.0,esperance,-33.8667,121.9,86.0,13.0,98.0,23.02
30,7696232.0,qixingtai,30.4135,111.8874,86.0,38.0,7.0,13.04
31,1786657.0,yinchuan,38.4681,106.2731,69.73,16.0,76.0,8.55
32,1489661.0,tevriz,57.509,72.4042,48.38,70.0,100.0,5.41
33,5880054.0,barrow,71.2906,-156.7887,19.4,86.0,90.0,10.36
34,5122534.0,jamestown,42.097,-79.2353,62.6,94.0,90.0,6.91
35,2063056.0,port augusta,-32.5,137.7667,76.8,31.0,0.0,8.05
37,3466165.0,cidreira,-30.1811,-50.2056,62.26,85.0,14.0,5.99
38,3369157.0,cape town,-33.9258,18.4232,55.6,87.0,20.0,8.05
39,986717.0,kruisfontein,-34.0033,24.7314,62.01,76.0,100.0,3.0
40,1797117.0,rongcheng,30.634,117.8517,78.12,40.0,15.0,16.26
41,1106677.0,bambous virieux,-20.3428,57.7575,77.47,89.0,75.0,13.8
44,100926.0,umm lajj,25.0213,37.2685,86.04,33.0,0.0,11.32
45,553766.0,kamenka,51.3223,42.7678,46.99,55.0,6.0,4.68
46,3833883.0,trelew,-43.249,-65.3051,63.77,55.0,58.0,7.56
47,5882953.0,aklavik,68.2191,-135.0107,36.45,55.0,23.0,8.05
48,2980080.0,saint-francois,46.4154,3.9054,48.76,81.0,75.0,3.44
49,2017632.0,priiskovyy,51.9333,116.6333,34.09,82.0,100.0,10.13
50,1337618.0,manadhoo,5.7667,73.3833,83.41,72.0,51.0,5.44
52,2223734.0,nkoteng,4.5167,12.0333,68.97,98.0,100.0,1.9
53,3075023.0,hovorany,48.9549,16.9935,50.68,87.0,99.0,9.24
55,5710035.0,west wendover,40.7391,-114.0733,60.8,25.0,1.0,5.75
56,6100069.0,peace river,56.2501,-117.286,28.4,74.0,75.0,9.22
58,5546220.0,saint george,37.1041,-113.5841,69.8,21.0,1.0,9.22
59,3893726.0,constitucion,-35.3333,-72.4167,57.51,66.0,0.0,5.26
60,1337613.0,kulhudhuffushi,6.6221,73.07,83.71,72.0,16.0,4.83
61,2145554.0,ulladulla,-35.35,150.4667,69.78,53.0,20.0,8.05
63,5866583.0,kodiak,57.79,-152.4072,44.6,87.0,90.0,6.91
64,5848280.0,kapaa,22.0752,-159.319,70.18,83.0,90.0,12.66
65,2455517.0,kayes,14.0,-11.0,91.58,17.0,60.0,11.54
66,2075265.0,busselton,-33.65,115.3333,69.01,77.0,100.0,15.99
68,1731248.0,alugan,12.2188,125.4808,82.89,68.0,12.0,10.27
