,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,mollendo,-17.0231,-72.0147,19.35,83.0,91.0,3.41
1,poum,-20.2333,164.0167,24.54,59.0,0.0,9.05
2,pochutla,15.7432,-96.4661,29.7,66.0,40.0,4.12
3,port alfred,-33.5906,26.891,18.51,79.0,77.0,4.01
4,katsuura,35.1333,140.3,19.47,68.0,75.0,7.72
5,mahebourg,-20.4081,57.7,24.0,94.0,75.0,4.63
6,rikitea,-23.1203,-134.9692,25.21,73.0,40.0,5.54
7,hermanus,-34.4187,19.2345,13.33,86.0,97.0,2.2
8,luderitz,-26.6481,15.1594,15.13,83.0,16.0,3.62
9,kahului,20.8947,-156.47,24.93,74.0,40.0,3.6
10,puerto ayora,-0.7393,-90.3518,24.43,86.0,28.0,3.47
12,hilo,19.7297,-155.09,24.99,51.0,1.0,3.09
13,lebu,-37.6167,-73.65,13.23,94.0,75.0,0.89
14,aztec,36.8222,-107.9929,11.65,43.0,1.0,2.06
15,belmonte,-15.8631,-38.8828,26.0,69.0,75.0,3.6
16,pacifica,37.6138,-122.4869,13.74,72.0,1.0,7.72
17,atuona,-9.8,-139.0333,26.56,73.0,73.0,5.98
18,zwedru,6.0667,-8.1281,23.64,96.0,92.0,1.47
19,kutum,14.2,24.6667,22.48,15.0,22.0,3.35
20,ukiah,39.1502,-123.2078,20.64,27.0,1.0,7.2
22,urubicha,-15.3833,-62.95,20.97,74.0,74.0,1.46
23,namibe,-15.1961,12.1522,24.46,66.0,45.0,3.47
24,constitucion,-35.3333,-72.4167,14.06,71.0,32.0,3.88
25,petropavlovsk-kamchatskiy,53.0452,158.6483,6.0,87.0,40.0,5.0
26,payyannur,12.1,75.2,26.64,86.0,23.0,1.18
27,nagpur,21.15,79.1,24.0,46.0,34.0,1.54
28,mataura,-46.1927,168.8643,7.91,71.0,99.0,1.03
29,sabancuy,18.9667,-91.1833,31.32,56.0,0.0,4.51
30,codrington,-38.2667,141.9667,13.45,71.0,59.0,1.57
31,richards bay,-28.783,32.0377,22.79,81.0,72.0,5.55
33,deputatskiy,69.3,139.9,-7.4,88.0,100.0,2.17
34,sitka,57.0531,-135.33,9.0,66.0,90.0,6.17
35,jamestown,42.097,-79.2353,19.9,43.0,20.0,4.12
36,mumbwa,-14.9783,27.0619,19.67,63.0,79.0,1.85
40,punta arenas,-53.15,-70.9167,5.78,87.0,90.0,4.63
41,turukhansk,65.8167,87.9833,1.71,89.0,100.0,7.61
42,cap malheureux,-19.9842,57.6142,25.0,84.0,100.0,3.58
43,faya,18.3851,42.4509,14.5,82.0,0.0,1.39
44,avarua,-21.2078,-159.775,28.0,74.0,98.0,4.12
45,new norfolk,-42.7826,147.0587,13.84,71.0,91.0,2.24
46,seoul,37.5683,126.9778,13.33,76.0,75.0,2.06
47,hobart,-42.8794,147.3294,13.82,67.0,75.0,4.12
48,beloha,-25.1667,45.05,21.72,69.0,2.0,2.61
49,guerrero negro,27.9769,-114.0611,17.83,61.0,1.0,7.16
50,tasiilaq,65.6145,-37.6368,2.0,75.0,20.0,5.14
51,torbay,47.6666,-52.7314,5.24,100.0,90.0,2.06
52,albany,42.6001,-73.9662,13.74,40.0,97.0,0.61
53,miquelon,47.0975,-56.3814,3.56,90.0,80.0,6.69
54,luancheng,37.8792,114.6517,16.0,25.0,0.0,2.0
55,iqaluit,63.7506,-68.5145,-5.0,74.0,20.0,3.6
56,gedo,9.0167,37.45,12.9,85.0,99.0,0.13
58,korla,41.7597,86.1469,14.37,35.0,21.0,1.78
62,kapaa,22.0752,-159.319,24.39,83.0,75.0,3.6
64,chickasha,35.0526,-97.9364,21.0,94.0,75.0,2.57
66,saint-philippe,-21.3585,55.7679,21.59,78.0,90.0,3.09
67,zavetnoye,47.1194,43.8903,8.42,57.0,99.0,1.8
68,wagga wagga,-35.1167,147.3667,16.26,72.0,99.0,2.57
69,hasaki,35.7333,140.8333,19.43,56.0,75.0,6.17
70,kodiak,57.79,-152.4072,7.0,81.0,90.0,10.29
71,temirtau,50.0544,72.9483,13.0,28.0,0.0,7.0
72,lyuban,52.7985,28.0048,2.77,88.0,60.0,2.19
75,biak,-0.9131,122.8766,27.0,74.0,10.0,1.75
76,maryville,35.7565,-83.9705,22.91,47.0,75.0,5.66
77,souillac,-20.5167,57.5167,24.0,94.0,75.0,4.63
78,pizarro,4.9533,-77.366,25.0,89.0,100.0,2.29
79,cherskiy,68.75,161.3,-2.89,80.0,46.0,5.63
83,tieli,46.95,128.05,11.48,31.0,100.0,5.17
84,karachi,24.9056,67.0822,28.0,74.0,40.0,2.06
85,faanui,-16.4833,-151.75,27.68,72.0,35.0,4.86
86,inhambane,-23.865,35.3833,22.47,85.0,0.0,3.93
87,bethel,41.3712,-73.414,14.49,29.0,1.0,2.06
88,cape town,-33.9258,18.4232,14.31,88.0,0.0,2.57
90,georgetown,5.4112,100.3354,26.51,89.0,20.0,1.03
95,morondava,-20.2833,44.2833,23.14,87.0,0.0,2.86
96,sokolo,14.7328,-6.1219,34.74,11.0,8.0,1.15
97,vera cruz,-12.6333,-41.0333,19.0,88.0,0.0,1.54
98,okhotsk,59.3833,143.3,-1.5,81.0,91.0,0.68
99,betanzos,43.2804,-8.2147,11.81,82.0,90.0,1.54
101,si bun ruang,16.9667,102.2833,24.44,99.0,100.0,1.8
103,whyalla,-33.0333,137.5833,18.0,77.0,77.0,2.57
104,porto novo,6.4965,2.6036,29.0,84.0,40.0,4.63
105,busselton,-33.65,115.3333,13.33,99.0,29.0,0.45
108,presidencia roque saenz pena,-26.7852,-60.4388,14.63,72.0,0.0,2.07
111,arraial do cabo,-22.9661,-42.0278,21.0,94.0,75.0,2.06
112,lorengau,-2.0226,147.2712,29.42,67.0,76.0,2.28
113,aasiaat,68.7098,-52.8699,-2.85,95.0,98.0,2.9
114,price,39.5994,-110.8107,6.0,81.0,90.0,4.12
115,saint anthony,45.0205,-93.218,7.73,87.0,90.0,3.6
116,hithadhoo,-0.6,73.0833,27.86,67.0,100.0,1.06
